Case Number,Time,Date,Year,Type,Country,Fatal,Injury,Area,Location,Activity,Name,Victim's Gender,Age,Species,Predicted Gender
1966.06.11,Morning,11-Jun-1966,1966.0,Provoked,USA,N,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,Florida,"Ft. Lauderdale, Broward County",Fishing,Burton Chamberlin,,18.0,1.2 m [4'] hammerhead shark,Male
1966.06.04,Afternoon,04-Jun-1966,1966.0,Unprovoked,USA,N,Punctures on thigh & buttock,Texas,Bolivar Peninsula,Swimming,David N. Holmgreen,,18.0,a small shark,Male
1966.06.02,Afternoon,02-Jun-1966,1966.0,Provoked,FRENCH POLYNESIA,N,Arm lacerated by netted shark PROVOKED INCIDENT,Society Islands,Tahiti,Fishing,Faarei Tuhei,,24.0,Unknown,
1966.05.20.c,Evening,20-May-1966,1966.0,Sea Disaster,AUSTRALIA,Y,FATAL,New South Wales,Jervis Bay,Sinking of the dredge World Atlas,Kor Van Helden,,40.0,Unknown,Male
1966.05.20.b,Morning,20-May-1966,1966.0,Unprovoked,AUSTRALIA,N,Foot bitten,New South Wales,Bellingen,Fishing,Colin Oxenbridge,,24.0,1.8 m [6'] shark,Male
1966.05.16.b,Afternoon,16-May-1966,1966.0,Invalid,USA,Unknown,"White shark, 3.7 m [12'] made threat display. No injury, no attack",Florida,"Fernandina Beach, Nassau County",Spearfishing / Scuba diving,Steven Oschosky,,24.0,Invalid,Male
1966.04.00,Unknown,Apr-1966,1966.0,Sea Disaster,AUSTRALIA,N,Survived,New South Wales,"Botany Bay, Sydney",Overturned skiff,"Occupants: Jack Munro, Quinton Graham & Donald Shadler",,24.0,Unknown,
1966.03.20,Unknown,20-Mar-1966,1966.0,Provoked,AUSTRALIA,N,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",New South Wales,Maroubra,Fishing (big game),"35' cruiser, Maluka II, occupants: Mr & Mrs E. Potts",,24.0,"Alleged to involve a White shark, 7.6 m [25']",
1966.02.27,Afternoon,27-Feb-1966,1966.0,Unprovoked,AUSTRALIA,N,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",New South Wales,Coledale Beach,Treading water,Raymond Short,,13.0,"White shark, 2.5 m [8.25'], an immature female, previously injured",Male
1966.01.29,Afternoon,29-Jan-1966,1966.0,Provoked,SOUTH AFRICA,N,Left leg lacerated by hooked shark PROVOKED INCIDENT,Western Cape Province,Strandfontein Beach,Helping men land a shark,John Campbell,,33.0,Copper shark,Male
1966.01.22,Morning,22-Jan-1966,1966.0,Unprovoked,USA,N,"Hand, arm & thigh bitten",California,"Pebble Beach, Cypress Point, Monterey County",Free diving / spearfishing (resting on the surface),Donald Barthman,,29.0,"White shark, 3 m [10']",Male
1966.01.15,Unknown,15-Jan-1966,1966.0,Unprovoked,AUSTRALIA,N,Buttocks bitten,New South Wales,Bellambi,Spearfishing,Cornelius Meyer,,30.0,"Wobbegong shark, 5'",Male
1966.01.11,Morning,11-Jan-1966,1966.0,Unprovoked,SOUTH AFRICA,N,Right calf lacerated,Eastern Cape Province,Riet River,Standing,Robin Michael Long,,16.0,1.5 m to 1.8 m [5' to 6'] Zambesi shark,Male
1966.01.10,Unknown,10-Jan-1966,1966.0,Unprovoked,AUSTRALIA,N,"Lower leg nipped, arm bruised when he landed in boat",Western Australia,Woodman Point,Jumped into the water,Marko Kovacich,,43.0,76 cm [2.5'] carpet shark,Male
1966.01.09,Afternoon,09-Jan-1966,1966.0,Unprovoked,SOUTH AFRICA,N,Lower legs bitten,KwaZulu-Natal,Umkomaas,Body surfing,Dennis Vorster,,15.0,"1.8 m to 2 m [6' to 6'9""] shark",Male
1966.01.08,Afternoon,08-Jan-1966,1966.0,Unprovoked,NEW ZEALAND,Y,"FATAL, left leg bitten thigh to calf",North Island,"Oakura Beach, Taranaki",Body surfing,Rae Marion Keightley (female),,15.0,Unknown,Female
1966.01.05,Afternoon,05-Jan-1966,1966.0,Unprovoked,USA,N,Thigh gashed,Florida,"Hollywood, Broward County",Swimming,George A. C. Scherer,,35.0,Hammerhead shark,Male
1966.00.00,Unknown,Summer of 1996,1966.0,Invalid,USA,Unknown,Minor lacerations & abrasions to lower leg.,California,"Huntington Beach, Orange County",Walking,Jane Derry,,15.0,Shark involvement not confirmed,Female
1965.12.28,Unknown,28-Dec-1965,1965.0,Unprovoked,AUSTRALIA,N,Thigh & swim fin bitten,Western Australia,"Bathurst Reef, Rottnest Island","Spearfishing, but standing in knee-deep water",male,,40.0,1.8 m [6'] carpet shark,Male
1965.12.10,Morning,10-Dec-1965,1965.0,Boat,AUSTRALIA,N,No injury to occupants. Shark gouged planks of boat,South Australia,Cape Jervis,Fishing,19' clinker-built craft. Occupants: Ray Peckham & Mr. L.C. Wells,,24.0,15' shark,
1965.11.21.b,Unknown,21-Nov-1965,1965.0,Provoked,AUSTRALIA,Y,FATAL PROVOKED INCIDENT,Queensland,Near Brisbane,Fishing from 34' boat when pulled overboard by hooked shark,Gordon Hobrook,,43.0,4.6 m [15'] shark,Male
1965.11.21.a,Evening,21-Nov-1965,1965.0,Unprovoked,PACIFIC OCEAN,N,"Left forearm bitten, surgically amputated","250 miles southwest of O'ahu, Hawaii",Japanese fishing boat Taihei Maru No.10,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",Takashi Kameya,,44.0,Unknown,Male
1965.11.03.b,Morning,03-Nov-1965,1965.0,Invalid,PANAMA,Unknown,2 life preservers had been bitten by sharks,Caribbean Sea,Golfo de los Mosquitos,Argentine Air Force C-54,68 people missing (crew & passengers),,24.0,Shark involvement not confirmed,
1965.11.03.a,Afternoon,03-Nov-1965,1965.0,Unprovoked,AUSTRALIA,N,Puncture wounds to right thigh,Queensland,Oak Beach,Surfing,Roy McGuffie,,24.0,"Grey nurse shark, 2.4 m [8']",Male
1965.10.16.b,Unknown,16-Oct-1965,1965.0,Unprovoked,BAHAMAS,N,Right arm & right leg bitten,New Providence Island,Nassau,Sunbathing on beach when he saw child being attacked by the shark,"Bruce Johnson, rescuer",,32.0,"1.8 m [6'], 180-lb shark",Male
1965.10.16.a,Unknown,16-Oct-1965,1965.0,Unprovoked,BAHAMAS,Y,FATAL,New Providence Island,Nassau,Playing in the water,young girl,,24.0,"1.8 m [6'], 180-lb shark",Female
1965.10.10,Unknown,10-Oct-1965,1965.0,Unprovoked,NEW BRITAIN,Y,FATAL,West coast,"Outside the reef off Moputu Village, near Talasea","Spearfishing, shot a turtle",Kaleva,,15.0,2 sharks involved,Male
1965.09.21,Unknown,21-Sep-1965,1965.0,Provoked,PAPUA NEW GUINEA,N,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",Madang Province,Sek Harbor,Spearing fish,"Dabek Orou, male",,24.0,"""small shark""",
1965.09.12,Afternoon,12-Sep-1965,1965.0,Provoked,PAPUA NEW GUINEA,N,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,East Sepik,Moem Village near Wewak,Fishing (rod & line),Ilu,,24.0,0.9 m [3'] shark,
1965.08.26,Afternoon,26-Aug-1965,1965.0,Unprovoked,USA,N,Right thigh lacerated,New Jersey,"Steel Pier, Atlantic City, Atlantic County",Swimming,"James Bloodworth, Jr.",,15.0,Unknown,Male
1965.07.30,Unknown,30-Jul-1964,1965.0,Provoked,BAHAMAS,N,Chest bitten PROVOKED INCIDENT,Bimini Islands,Lerner Marine Lab,Attempting to anesthetize shark,Karl Kuchnow,,24.0,"Lemon shark, 0.5 m",Male
1965.07.26,Afternoon,26-Jul-1965,1965.0,Unprovoked,MEXICO,Y,"FATAL, both legs severed",Veracruz,Mocambo,Bathing,Hector Serfio Trillio Jimenez,,25.0,Unknown,Male
1965.06.19,Unknown,19-Jun-1965,1965.0,Invalid,USA,Unknown,Parallel lacerations on right calf. Thought to be a barracuda bite,Florida,"In front of Key Biscayne Beach Club, Key Biscayne",Wading,Eugene Rihl III,,6.0,Questionable incident,Male
1965.06.18,Unknown,18-Jun-1965,1965.0,Invalid,USA,Unknown,"No injury, chased by 4.6 m [15'] oceanic whitetip sharks",Florida,150 miles southeast of Cape Kennedy,"Diving, retrieving film package from Titan 3C rocket","Sgt James Lacasse & Sgt David Milsten, USAF divers",,24.0,Invalid,
1965.06.09,Afternoon,09-Jun-1965,1965.0,Unprovoked,MEXICO,N,"Right forearm severed, right leg bitten and surgically amputated",Veracruz,Mocambo,Swimming,"Father Miguel de Jesus Chavez, a Catholic priest",,38.0,Unknown,
1965.06.00.b,Unknown,Jun-1965,1965.0,Unprovoked,PAPUA NEW GUINEA,N,Minor injury,Near Bougainville (North Solomons),Huhunoti Island,Spearfishing,"Mr. Belle Yang, a school teacher",,24.0,Unknown,
1965.05.29,Afternoon,29-May-1965,1965.0,Unprovoked,MEXICO,Y,"FATAL, left leg & right arm severed",Veracruz,Playa Mocambo,Swimming,Ignacio Millán,,24.0,Unknown,Male
1965.05.28,Unknown,28-May-1965,1965.0,Unprovoked,MEXICO,Y,"FATAL, left arm & right leg severed",Veracruz,Playa Mocambo,Swimming,Fidel Garcia Montero,,24.0,Unknown,Male
1965.05.00.a,Unknown,May 1965,1965.0,Unprovoked,MEXICO,N,"Right arm severed, right leg bitten, not known if he survived",Veracruz,Mocambo,Swimming,"Father Jose de Jesus Gomez, a priest",,35.0,Unknown,
1965.04.25,Afternoon,25-Apr-1965,1965.0,Invalid,USA,Unknown,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death,California,"Pacifica, San Mateo County",Surfing,Michael Sammut,,19.0,Invalid,Male
1965.04.10,Morning,10-Apr-1965,1965.0,Unprovoked,USA,N,Left hand severely lacerated,Florida,American Shoals off Key West,Spearfishing,Dr. J. D. Morgan,,28.0,"White shark, 10' to 12'",
1965.04.04.b,Afternoon,04-Apr-1965,1965.0,Unprovoked,PALAU,N,Right leg bitten,Western Caroline Islands,Koror,Walking on reef,Barry Nakamura,,8.0,"Tiger shark, tooth fragment recovered",Male
1965.04.04.a,Morning,04-Apr-1965,1965.0,Unprovoked,USA,N,Left hand punctured & lacerated,Florida,"Juno Beach, Palm Beach County",Paddling on surfboard,William F. Lachmund,,17.0,Blacktip or spinner shark,Male
1965.03.23,Morning,23-Mar-1965,1965.0,Invalid,USA,Unknown,"All 16 onboard perished, recovery efforts hampered by sharks",Puerto Rico,60 miles offshore north of San Juan,Aircraft exploded,15 Royal Canadian Airforce crew & 1 passenger,,24.0,Shark involvement prior to death was not confirmed,
1965.03.14,Afternoon,14-Mar-1965,1965.0,Unprovoked,USA,N,Survived,Florida,"Pompano Beach, Palm Beach County",Free diving,Rick MacNeilly,,16.0,Mako shark,Male
1965.02.14,Afternoon,14-Feb-1965,1965.0,Unprovoked,SOUTH AFRICA,N,"Abdomen, buttock, thigh, arm & hand bitten",KwaZulu-Natal,Amatikulu,Treading water,Geoffrey Walter Black,,25.0,"1.8 m [6'], 136-kg [300-lb] shark",Male
1965.02.04,Afternoon,04-Feb-1965,1965.0,Unprovoked,USA,N,Punctures on left thigh,Massachusetts,"Granite Pier, Rockport",Scuba diving,Ronald R. Powell,,18.0,1.2 m [4'] shark,Male
1965.01.25,Unknown,25-Jan-1965,1965.0,Invalid,USA,Unknown,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",California,"Newport Beach, Orange County",Motor boat Rebel Belle lost,Jack A. Zittel,,21.0,Shark involvement prior to death was not confirmed,Male
1965.01.23,Afternoon,23-Jan-1965,1965.0,Unprovoked,SOUTH AFRICA,N,"No injury, ski bitten",KwaZulu-Natal,"Country Club Beach, Durban",Paddling rescue ski,Ronald Bowers,,22.0,"White shark, 3.7 m [12']",Male
1965.01.16,Afternoon,16-Jan-1965,1965.0,Unprovoked,SOUTH AFRICA,N,Right thigh punctured,KwaZulu-Natal,"Country Club Beach, Durban",Body surfing,A.W.F. Patterson,,20.0,Unknown,
1965.01.10,Unknown,10-Jan-1965,1965.0,Unprovoked,AUSTRALIA,N,Thigh gashed,Victoria,"East of Station Pier, Port Melbourne",Swimming,Arthur Wootton,,24.0,1.5 m [5'] shark,Male
1965.01.09,Unknown,09-Jan-1965,1965.0,Unprovoked,NEW GUINEA,Y,FATAL,Central Province,Off Gaire Village,Free diving,"Lohia Raho, a male",,30.0,4.9 m [16'] whaler,
1965.00.00.g,Unknown,Summer 1965,1965.0,Unprovoked,USA,N,Foot bitten,Texas,"Port Lavaca, Calhoun County",Dangling feet in the water,Thomas Darilek,,13.0,Unknown,Male
1965.00.00.f,Unknown,1965,1965.0,Provoked,USA,N,Puncture wounds to foot when he stepped on a shark PROVOKED INCIDENT,California,"Dana Point, San Clemente, Orange County",Surfing,Barry Berg,,14.0,Unknown,Male
1965.00.00.e,Unknown,Early 1965,1965.0,Provoked,USA,N,"No injury, shark tore his wetsuit after he grabbed it by the tail PROVOKED INCIDENT",Florida,"Between Palm & Salerno Inlets, Martin County",Collecting marine specimens,Frank ---,,24.0,"Nurse shark, 0.94 m to 1.2 m [3' to 4']",Male
1964.12.25,Afternoon,25-Dec-1964,1964.0,Unprovoked,SOUTH AFRICA,N,"Hand, ankle & calf lacerated",Eastern Cape Province,Port Alfred,Swimming,W. A. Strijdom,,19.0,Raggedtooth shark,
1964.12.10.a,Morning,10-Dec-1964,1964.0,Boat,AUSTRALIA,N,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",New South Wales,Port Jervis,Fishing,"19' boat, occupants: Ray Peckham, L.C. Wells",,24.0,4.6 m [15'] shark,
1964.12.09,Afternoon,09-Dec-1964,1964.0,Unprovoked,PAPUA NEW GUINEA,N,Survived,Bougainville (North Solomons),"Off Sing Village, Buka Island","Canoe swamped, swimming back to canoe","Soso, a male",,28.0,2.1 m [7'] shark,
1964.12.06,Unknown,06-Dec-1964,1964.0,Unprovoked,KENYA,Y,FATAL,Coast Province,"Kilindini Harbor, Mombasa",Fishing with hand line tied to wrist & was pulled into the water,Musa Mohammed,,10.0,Unknown,Male
1964.11.29,Afternoon,29-Nov-1964,1964.0,Unprovoked,AUSTRALIA,N,Left leg severed,Victoria,Lady Julia Percy Island,Free diving with seals,Henri Bource,,25.0,"White shark, 2.4 m [8']",Male
1964.11.18,Afternoon,18-Nov-1964,1964.0,Unprovoked,AUSTRALIA,Y,FATAL,Queensland,"Fingal Beach, near Tweed Heads",Swimming out to rescue swimmers in difficulty,Glenthorne Prior,,29.0,Unknown,
1964.11.13,Unknown,13-Nov-1964,1964.0,Provoked,AUSTRALIA,N,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",New South Wales,"North Solitary Island, 8 miles from Wolli","Filming underwater, carrying powerhead",Jon Harding,,25.0,"White shark, 2.7 m [9'1""], 750-lb",Male
1964.10.31,Unknown,31-Oct-1964,1964.0,Provoked,SOUTH AFRICA,N,Right leg bitten while attempting to gaff hooked shark PROVOKED INCIDENT,KwaZulu-Natal,Umkomaas,Surf fishing,Robin Clausen,,24.0,Unknown,Male
1964.10.25,Evening,25-Oct-1964,1964.0,Invalid,USA,Unknown,"No injury to occupants, drove sharks away with paddles",Florida,"Near US Air Force Base at Elgin, Okaloosa County",Boat Miss Becky  sank 12 miles from shore,"James C. Beason & Calvin E. Smith, Jr. spent 16 hours in life raft",,24.0,Invalid,Male
1964.10.04,Morning,04-Oct-1964,1964.0,Unprovoked,AUSTRALIA,N,Abrasions & 11 teethmarks on right lower leg,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth","Surfing, but swimming to his board",Murray Henderson,,19.0,"Grey nurse shark, 1.8 m [6']",Male
1964.09.20,Afternoon,20-Sep-1964,1964.0,Unprovoked,TAIWAN,Y,FATAL,Northern Taiwan,"Tamsui Beach, Taipai",Swimming,Ko Tien-fu,,32.0,Unknown,
1964.09.07,Afternoon,07-Sep-1964,1964.0,Unprovoked,TAIWAN,N,Right thigh & elbow bitten,Northern Taiwan,Tamsui Beach,Swimming,LO Chiu-yang,,20.0,1.8 m [6'] shark,
1964.08.26,Afternoon,26-Aug-1964,1964.0,Unprovoked,USA,N,Bruised & abraded ankle,Florida,"Hollywood Beach, Broward County",Swimming,Marc Tayman,,14.0,Unknown,Male
1964.08.23,Afternoon,23-Aug-1964,1964.0,Unprovoked,MEXICO,N,Right thigh bitten,Guerrero,Acapulco,Floating on his back in an inner tube,Thad T. Moore,,19.0,1.8 to 2.4 m [6' to 8'] shark,Male
1964.08.22,Morning,22-Aug-1964,1964.0,Invalid,USA,Unknown,3 m to 3.7 m [10' to 12'] great hammerhead shark shark only made a threat display. No injury,Florida,5 miles south of Palm Beach,Spearfishing / free diving,Kenny Ruszenas,,18.0,Invalid,Male
1964.08.21,Morning,21-Aug-1964,1964.0,Unprovoked,USA,N,"No injury, bumped repeatedly",Florida,"Panama City, Bay County",Swimming,Ron Kopenski,,24.0,3' shark,Male
1964.08.08,Afternoon,08-Aug-1964,1964.0,Unprovoked,USA,N,"No injury, shark hit scuba tank",Florida,"2 miles off Jupiter, Palm Beach County",Spearfishing using scuba,James R. Webb,,28.0,Hammerhead shark,Male
1964.08.03,Unknown,03-Aug-1964,1964.0,Unprovoked,JAPAN,N,"Leg bitten, surgically amputated",Okayama Prefecture,Saidaiji,Swimming,Yoshio Ukita,,12.0,Unknown,Male
1964.08.00,Unknown,Aug-1964,1964.0,Unprovoked,PANAMA,N,Foot lacerated,San Blas,Off Achutuppu Island near Ailigandi,Free diving / Spearfishingat edge of reef,male,,21.0,Less than 1.2 m [4'],Male
1964.07.16,Unknown,16-Jul-1964,1964.0,Unprovoked,SOUTH AFRICA,N,"No injury, shark charged & impaled itself on spear",KwaZulu-Natal,Island Rock,Searching for remains of Dr. Marais,Len Jones,,30.0,Zambesi shark,Male
1964.07.10,Unknown,10-Jul-1964,1964.0,Invalid,SOUTH AFRICA,Y,FATAL,KwaZulu-Natal,Island Rock,Spearfishing,Dr. J. J. Marais,,52.0,Unknown,
1964.07.08,Unknown,08-Jul-1964,1964.0,Provoked,USA,N,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",Florida,"Palm Beach, Palm Beach County",Tagging sharks,18' boat of Morris Vorenberg,,24.0,white shark,
1964.07.00.b,Unknown,Jul-1964,1964.0,Unprovoked,PAPUA NEW GUINEA,Y,"FATAL, leg severed",New Ireland Province,A reef off New Hanover (Northern end),Standing / fishing,"Kambagil, male",,24.0,Unknown,
1964.07.00.a,Unknown,Jul-1964,1964.0,Boat,PAPUA NEW GUINEA,N,"No injury to occupant, canoe struck several times by shark",New Ireland Province,Southern end,canoeing,occupant: child,,24.0,Unknown,
1964.06.29.a,Unknown,29-Jun-1964,1964.0,Sea Disaster,BERMUDA,Y,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),2 USAF 4-engine planes (an HC-54 & a HC-97) each with 12 onboard collided in mid-air at low altitude and plunged into the Atlantic Ocean,,24.0,Unknown,
1964.06.28,Evening,28-Jun-1964,1964.0,Invalid,USA,Unknown,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",New York,Long Island,Attempting to swim across the Atlantic Ocean,Britt Sullivan,,29.0,Shark involvement prior to death was not confirmed,Female
1964.06.24,Unknown,24-Jun-1964,1964.0,Boat,USA,N,"No injury to occupants, shark crashed through windshield of boat",California,"Long Beach, Los Angeles County",Fishing,"boat, occupant: Harvey Birch",,24.0,2.1 m [7'] shark,
1964.06.17,Unknown,17-Jun-1964,1964.0,Boat,PAPUA NEW GUINEA,N,"No injury to occupant, shark lifted canoe's outrigger",New Britain,Near Rabaul,Fishing,"canoe, occupant: Herman Taman",,24.0,2.4 m [8'] shark,
1964.06.23,Unknown,23-Jun-1964,1964.0,Unprovoked,FIJI,N,Buttocks bitten,Lau Group,"Tovu, Totoya Island",Spearfishing,Isireli Mara,,23.0,Unknown,
1964.06.02,Unknown,02-Jun-1964,1964.0,Invalid,SOUTH AFRICA,Unknown,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",KwaZulu-Natal,Port Edward,Swimming,Dawood Pili,,40.0,Shark involvement prior to death was not confirmed,
1964.05.08,Morning,08-May-1964,1964.0,Unprovoked,FIJI,Y,"FATAL, buttocks, lower abdomen & genitalia removed",Vita Levu,Naviti,Spearfishing,Sailasa Ratubalavu,,35.0,Tiger shark,
1964.05.00,Unknown,May 1964,1964.0,Unprovoked,PANAMA,Y,"FATAL, torso / abdomen severely bitten",San Blas Islands,"Achutupu, a small island ner Ailigandi",Skin diving,male,,13.0,1.8 m [6'] shark,Male
1964.04.07,Unknown,07-Apr-1964,1964.0,Unprovoked,PAPUA NEW GUINEA,Y,FATAL,Madang Province,Inshore side of reef near Madang,Fishing,Simon Kilaleg,,24.0,Unknown,Male
1964.03.28.b,Unknown,28-Mar-1964,1964.0,Unprovoked,AUSTRALIA,N,Left thigh lacerated,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,Allan Spry,,19.0,1.8 m [6'] shark,Male
1964.03.28.a,Evening,28-Mar-1964,1964.0,Sea Disaster,PAPUA NEW GUINEA,Y,Presumed FATAL,Central Province,30 miles from Port Moresby,"Canoe capsized with 10 occupants, 8 survived, Hamilton swam off to seek help",Donald Hamilton,,32.0,Unknown,Male
1964.03.05,Afternoon,05-Mar-1964,1964.0,Unprovoked,USA,N,"Minor injury, abdomen abraded when he collided with the shark",Florida,"Fort Lauderdale, Broward County",Skin diving,James R. Duryea,,38.0,1.7 m [5.5'] shark,Male
1964.03.00,Unknown,Mar-1964,1964.0,Unprovoked,SENEGAL,N,Thigh & hand bitten,Cap Vert Peninsula,"Bel Air, Dakar",Free diving for shell,O.D.,,24.0,3 m shark,
1964.02.14.a,Morning,14-Feb-1964,1964.0,Unprovoked,FIJI,Y,"FATAL, thigh and abdomen bitten",Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",Spearfishing,Ivo Berabi,,17.0,Unknown,Male
1964.02.11,Afternoon,11-Feb-1964,1964.0,Unprovoked,NEW ZEALAND,N,Hand lacerated,North Island,"Palliser Bay, Whatarangi (east of Wellington)",preparing to go skin diving,male,,24.0,Unknown,Male
1964.02.10,Evening,10-Feb-1964,1964.0,Unprovoked,NEW ZEALAND,N,"No injury to diver, shark bit speargun",North Island,"West of Pukerua Bay, Wellington",Spearfishing,Dr. Ken R. Markham,,26.0,"White shark, 3 m [10']",
1964.02.08,Morning,08-Feb-1954,1964.0,Unprovoked,SOUTH AFRICA,N,Right ankle lacerated,Western Cape Province,Muizenberg,Body boarding,Alan Saffery,,25.0,"White shark, 1.5 m [5'] k",Male
1964.02.05.b,Unknown,05-Feb-1964,1964.0,Unprovoked,NEW ZEALAND,N,Right leg & shoulder lacerated,North Island,"Hokio Beach, near Levin",Lying in 2 feet of water,male,,24.0,"""sand shark""",Male
1964.02.05.a,Morning,05-Feb-1964,1964.0,Unprovoked,NEW ZEALAND,Y,"FATAL, both legs bitten & right leg severed at knee",South Island,"St. Clair Beach, Dunedin",Swimming,Leslie Francis Jordan,,19.0,"White shark, 3 m to 3.7 m [10' to 12']",Female
1964.02.02,Morning,02-Feb-1964,1964.0,Invalid,AUSTRALIA,Unknown,Body not recovered / May have drowned prior to shark involvement,Queensland,Brisbane,Swimming,Neil Buckley,,23.0,Shark involvement prior to death was not confirmed,Male
1964.02.01,Afternoon,01-Feb-1964,1964.0,Boat,NEW ZEALAND,N,"No injury to occupants , shark nudged oars",South Island,"Ngatuka Bay, near Picton",Rowing,"dinghy, occupants: T. Shipston, T. Whitta, L Cox, T. Jones, R. Genet & W. Pearce",,24.0,1.8 m [6'] shark,
1964.02.00.b,Unknown,Feb-1964,1964.0,Unprovoked,USA,N,No injury,Florida,Palm Beach County,Floating,Noel Feustel,,12.0,Hammerhead shark,Male
1964.02.00.a,Unknown,Feb-1964,1964.0,Unprovoked,COSTA RICA,Y,"FATAL, right arm & left thigh bitten",Puntarenas Province,Puntarenas,Swimming,male,,24.0,Unknown,Male
1964.01.23,Afternoon,23-Jan-1964,1964.0,Unprovoked,SOUTH AFRICA,N,Heel & ankle bitten,Eastern Cape Province,Nahoon,Body surfing,John Carlson,,39.0,Unknown,Male
1964.01.22,Morning,22-Jan-1964,1964.0,Unprovoked,SOUTH AFRICA,N,Heel bitten,Eastern Cape Province,Nahoon,Standing,Gerald Holder,,17.0,Unknown,Male
1964.01.21,Morning,21-Jan-1964,1964.0,Boat,SOUTH AFRICA,N,"No injury to occupants, shark holed boat",Western Cape Province,20 m from shore at Strand,Shark watching,"Motor boat, occupants: Quintus Du Toit, J.H. van Heerden & J.P. Marais",,24.0,"White shark, 3.6 m [11'9""]",
1964.01.18,Unknown,18-Jan-1964,1964.0,Unprovoked,AUSTRALIA,N,Arm lacerated,Western Australia,Hamelin Bay,Freediving,Frank Hastie,,24.0,Wobbegong,Male
1964.01.11,Afternoon,11-Jan-1964,1964.0,Unprovoked,USA,N,Leg & thigh bitten,California,Southeast Farallon Island,Spearfishing / Scuba diving (at surface),Jack Rochette,,21.0,White shark (tooth fragment recovered),Male
1964.01.04,Afternoon,04-Jan-1964,1964.0,Unprovoked,FIJI,N,Deep lacerations to her right thigh,"Lomaloma, Lau",Tuvuca Isalnd,Swimming,Tale Meve (female),,20.0,Unknown,Female
1964.01.01.a,Evening,01-Jan-1964,1964.0,Unprovoked,SOUTH AFRICA,N,Lacerations and puncture wounds in right arm,Western Cape Province,Mossel Bay,Diving for sinkers,Jakobus Christiaan Steyn,,24.0,2.1 m to 2.4 m [7' to 8'] shark,Male
1964.01.00,Morning,Jan-1964,1964.0,Invalid,NEW ZEALAND,Unknown,No injury,North Island,White Island,Snorkeling,J.H. Seddon,,24.0,Invalid,
1963.12.29,Afternoon,29-Dec-1963,1963.0,Unprovoked,SOUTH AFRICA,N,"Right hand & foot severed, thigh & buttock lacerated",KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shaka’s Rock",Standing,Barbara Elsa Strauss,,20.0,"Zambesi shark, 1.8 m [6']",Female
1963.12.26.b,Afternoon,26-Dec-1963,1963.0,Unprovoked,SOUTH AFRICA,N,"Lower leg bitten & foot severed, leg surgically amputated below knee",KwaZulu-Natal,Umhlanga Rocks,Swimming,Ronnie De Wet,,24.0,1.8 m [6'] shark,Male
1963.12.26.a,Unknown,26-Dec-1963,1963.0,Unprovoked,AUSTRALIA,N,"No injury, shark's tail struck his armpit",Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,Mr. N. Warry,,24.0,"4.3 m [14'], 1000-lb shark",
1963.12.25,Afternoon,25-Dec-1963,1963.0,Unprovoked,SOUTH AFRICA,Y,"FATAL, shoulders, arms, abdomen & foot bitten",Eastern Cape Province,Gonubie River Mouth,Swimming,Chester Wienand,,18.0,Unknown,Male
1963.12.22.a,Evening,22-Dec-1963,1963.0,Provoked,SOUTH AFRICA,N,Foot lacerated PROVOKED INCIDENT,KwaZulu-Natal,"Next to West Street groyne, Durban",Helping friend land hooked shark,Desmond Woodhams,,13.0,"Dusky shark, 1 m",Male
1963.12.21,Unknown,21-Dec-1963,1963.0,Provoked,AUSTRALIA,N,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,Leslie Cook,,24.0,"Wobbegong shark, 3'",Female
1963.12.20.b,Afternoon,20-Dec-1963,1963.0,Unprovoked,SOUTH AFRICA,N,Foot lacerated,Western Cape Province,Hartenbos,Spearfishing,Cornelius G. Coetzee,,24.0,"White shark, 1.7 m [5.5']",Male
1963.12.20.a,Afternoon,20-Dec-1963,1963.0,Unprovoked,SOUTH AFRICA,Y,"FATAL, arm severed, leg bitten",KwaZulu-Natal,Umvoti,Splashing in surf,Matangusa Mzize,,15.0,300- to 400-lb Zambesi shark,
